loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,loan_to_value,region,security_type,status,debt_to_income,term_category
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,416500,4.25,0.384,0.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,7800.0,CIB,568,EXP,35-44,not_inst,87.13389121,North,direct,0,42.0,Long-term
ncf,Male,nopre,type1,p1,l1,nopc,nob/c,516500,4.375,0.8779,0.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,9120.0,CRIF,541,CIB,35-44,not_inst,90.93309859,North,direct,0,45.0,Long-term
cf,Female,nopre,type1,p3,l1,nopc,nob/c,476500,3.99,0.3599,3953.13,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,5400.0,EQUI,737,EXP,55-64,not_inst,1.1399521531100478,North,direct,1,39.0,Long-term
cf,Male,nopre,type2,p4,l1,nopc,b/c,206500,4.25,1.3044,1415.8,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5220.0,EXP,886,CIB,45-54,not_inst,80.03875969,North,direct,0,23.0,Long-term
cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,236500,3.25,-0.4144,5350.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,3060.0,EXP,792,CIB,65-74,to_inst,52.79017857,south,direct,0,45.0,Long-term
cf,Male,nopre,type1,p1,l1,nopc,nob/c,366500,3.75,0.5016,8129.38,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,7020.0,CIB,567,CIB,45-54,not_inst,94.45876289,North,direct,0,49.0,Long-term
cf,Male,nopre,type1,p3,l1,nopc,nob/c,206500,4.99,1.2395,5534.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4200.0,CRIF,853,CIB,55-64,to_inst,71.70138889,south,direct,0,38.0,Long-term
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,186500,3.99,0.3599,3953.13,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,8160.0,EQUI,520,EXP,35-44,to_inst,0.4461722488038278,south,direct,1,39.0,Medium-term
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,436500,4.5,0.8917,3953.13,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,6540.0,EXP,580,EXP,45-54,to_inst,74.23469388,North,direct,0,40.0,Long-term
cf,Joint,pre,type1,p4,l1,nopc,nob/c,636500,3.625,-0.1127,3929.0,not_neg,not_int,not_lpsm,858000.0,sb,pr,home,1U,11460.0,CIB,507,EXP,45-54,not_inst,74.18414918,North,direct,0,33.0,Long-term
cf,Female,nopre,type1,p1,l1,nopc,nob/c,356500,3.99,0.3599,1860.0,not_neg,not_int,not_lpsm,548000.0,sb,pr,home,1U,3600.0,EXP,807,CIB,<25,not_inst,65.05474453,south,direct,1,48.0,Long-term
cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,146500,4.5,0.9104,2795.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,6720.0,CRIF,832,EXP,45-54,to_inst,59.07258065,south,direct,0,31.0,Long-term
cf,Joint,nopre,type3,p4,l2,nopc,nob/c,586500,3.375,-0.6546,4938.2,not_neg,not_int,not_lpsm,618000.0,sb,pr,home,1U,6660.0,CRIF,724,EXP,35-44,not_inst,94.90291262,North,direct,0,40.0,Long-term
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,336500,4.56,0.9678,1009.2,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,6660.0,EXP,556,EXP,35-44,not_inst,78.62149533,North,direct,0,41.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,2.99,0.2866,6190.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,3720.0,CRIF,791,CIB,35-44,to_inst,83.26612903,south,direct,0,31.0,Short-term
cf,Male,nopre,type1,p1,l1,nopc,nob/c,266500,4.25,0.5117,0.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,6960.0,CIB,875,CIB,25-34,not_inst,95.86330935,North,direct,0,48.0,Long-term
cf,Joint,pre,type1,p1,l1,nopc,nob/c,726500,4.99,1.059,1940.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,11580.0,CRIF,632,EXP,35-44,not_inst,92.19543147,North,direct,0,44.0,Long-term
cf,Joint,pre,type2,p1,l1,nopc,b/c,176500,3.375,1.0489,6078.23,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,3360.0,CRIF,603,EXP,25-34,to_inst,99.15730337,North,direct,0,36.0,Long-term
cf,Female,nopre,type1,p2,l1,nopc,nob/c,106500,4.5,1.0816,2321.25,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,2520.0,CIB,777,CIB,65-74,to_inst,21.82377049,North,direct,0,42.0,Long-term
cf,Female,nopre,type1,p4,l1,nopc,nob/c,66500,4.75,1.3462,2833.55,not_neg,not_int,not_lpsm,108000.0,sb,pr,home,1U,3840.0,CIB,526,EXP,55-64,to_inst,61.57407407,North,direct,0,37.0,Long-term
cf,Male,nopre,type3,p1,l1,nopc,nob/c,266500,3.99,0.6568,5358.52,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,4440.0,EXP,829,CIB,25-34,to_inst,103.2945736,North,direct,0,38.0,Long-term
ncf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,356500,4.5,0.3487,0.0,not_neg,not_int,not_lpsm,448000.0,sb,sr,home,1U,24660.0,CIB,661,EXP,45-54,to_inst,79.57589286,south,direct,0,34.0,Long-term
cf,Female,nopre,type1,p4,l1,nopc,nob/c,236500,2.75,-0.1708,3585.68,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,6600.0,CIB,601,CIB,35-44,not_inst,46.55511811,south,direct,0,26.0,Short-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,696500,4.375,-0.113,0.0,neg_amm,not_int,not_lpsm,1208000.0,sb,pr,home,1U,12000.0,CRIF,838,CIB,25-34,not_inst,57.65728477,south,direct,0,37.0,Long-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,626500,3.75,-0.0978,0.0,not_neg,int_only,not_lpsm,1158000.0,sb,pr,home,1U,7020.0,CRIF,607,EXP,45-54,not_inst,54.10189983,south,direct,0,47.0,Long-term
cf,Male,pre,type1,p4,l1,nopc,nob/c,186500,4.375,0.7289,2151.5,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,5520.0,CIB,814,CIB,35-44,to_inst,69.58955224,south,direct,0,29.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,406500,3.99,0.3599,2170.705,neg_amm,not_int,not_lpsm,418000.0,sb,pr,home,1U,7980.0,EQUI,829,EXP,35-44,not_inst,0.972488038277512,south,direct,1,39.0,Long-term
cf,Joint,nopre,type3,p4,l1,nopc,nob/c,306500,3.125,-0.6491,1473.22,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,5580.0,CRIF,673,EXP,55-64,not_inst,73.32535885,North,direct,0,39.0,Long-term
cf,Sex Not Available,pre,type2,p4,l1,nopc,b/c,326500,3.375,0.4823,0.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,5520.0,CRIF,616,CIB,55-64,to_inst,91.20111732,south,direct,0,39.0,Long-term
cf,Female,pre,type1,p4,l1,nopc,nob/c,376500,3.99,0.5358,12926.19,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,5400.0,CIB,557,EXP,45-54,to_inst,74.11417323,south,direct,0,36.0,Long-term
cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,366500,3.25,0.2097,13597.75,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,3780.0,CIB,549,EXP,55-64,to_inst,68.12267658,south,direct,0,32.0,Long-term
cf,Male,nopre,type3,p3,l1,nopc,nob/c,546500,3.25,-0.5365,0.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,8400.0,EXP,561,EXP,45-54,not_inst,75.06868132,North,direct,0,42.0,Long-term
cf,Female,nopre,type1,p3,l1,nopc,nob/c,606500,3.75,0.5412,0.0,not_neg,not_int,not_lpsm,1238000.0,sb,pr,home,1U,28020.0,CRIF,683,CIB,55-64,not_inst,48.99030695,North,direct,0,46.0,Short-term
cf,Male,nopre,type1,p2,l1,nopc,nob/c,106500,3.99,0.3599,2741.0,not_neg,not_int,lpsm,448000.0,sb,pr,home,1U,1740.0,EXP,785,CIB,45-54,to_inst,23.77232143,North,direct,1,50.0,Short-term
cf,Female,nopre,type1,p4,l1,nopc,nob/c,526500,3.625,-0.0465,0.0,not_neg,int_only,not_lpsm,818000.0,sb,pr,home,1U,8580.0,EXP,736,CIB,55-64,not_inst,64.36430318,North,direct,0,43.0,Long-term
cf,Joint,pre,type3,p3,l1,nopc,nob/c,156500,3.5,-0.1729,3468.75,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,1620.0,EXP,659,EXP,>74,to_inst,93.1547619,North,direct,1,57.0,Long-term
cf,Joint,pre,type1,p1,l1,nopc,nob/c,466500,2.75,-0.4045,795.0,not_neg,not_int,not_lpsm,778000.0,sb,sr,home,1U,26520.0,CIB,765,EXP,55-64,to_inst,59.96143959,North,direct,0,36.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,276500,3.875,0.1225,668.54,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1U,6000.0,EXP,699,EXP,45-54,not_inst,67.76960784,North,direct,0,36.0,Long-term
cf,Male,nopre,type2,p2,l1,nopc,b/c,486500,3.99,0.96485,1614.96,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,5820.0,CRIF,739,CIB,65-74,not_inst,81.35451505,North,direct,1,59.0,Long-term
cf,Male,pre,type1,p1,l1,nopc,nob/c,436500,3.75,-0.297,9904.88,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,6120.0,CRIF,899,CIB,25-34,to_inst,59.95879121,North,direct,0,34.0,Long-term
cf,Female,nopre,type1,p2,l1,nopc,nob/c,206500,4.56,0.6457,5915.47,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,2520.0,CRIF,748,CIB,65-74,to_inst,61.09467456,central,direct,0,43.0,Long-term
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,276500,3.99,0.3913,5414.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3840.0,CRIF,686,CIB,25-34,to_inst,79.45402299,south,direct,0,39.0,Long-term
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,296500,3.99,0.5511,6234.13,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,9780.0,CIB,554,EXP,45-54,to_inst,93.23899371,North,direct,0,35.0,Long-term
cf,Female,nopre,type1,p3,l2,nopc,nob/c,206500,4.75,0.7951,5104.42,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,6360.0,EXP,768,CIB,45-54,to_inst,61.09467456,North,direct,0,28.0,Long-term
cf,Joint,nopre,type3,p4,l1,nopc,nob/c,146500,4.0,0.2735,0.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,5580.0,EXP,882,EXP,55-64,to_inst,77.92553191,North,direct,0,39.0,Long-term
cf,Sex Not Available,nopre,type2,p1,l1,nopc,b/c,146500,4.5,1.7093,1254.97,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1U,3660.0,CIB,874,EXP,25-34,to_inst,98.98648649,south,direct,0,22.0,Long-term
cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,196500,3.5,-0.1751,3347.75,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,4380.0,EXP,800,EXP,65-74,to_inst,63.7987013,south,direct,0,45.0,Long-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,326500,3.625,0.1272,7442.73,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,13620.0,CRIF,576,EXP,45-54,to_inst,58.5125448,south,direct,0,32.0,Long-term
cf,Sex Not Available,nopre,type3,p4,l1,nopc,nob/c,266500,3.375,-0.3299,552.24,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,2U,5520.0,CRIF,532,CIB,55-64,to_inst,86.52597403,south,direct,0,39.0,Long-term
cf,Joint,nopre,type3,p4,l1,nopc,nob/c,596500,2.875,-0.8066,4800.98,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,6660.0,CRIF,880,EXP,35-44,not_inst,94.98407643,North,direct,0,39.0,Long-term
cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,406500,3.375,-0.2619,6261.48,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,7200.0,CRIF,625,EXP,55-64,to_inst,69.13265306,south,direct,0,35.0,Long-term
cf,Male,nopre,type1,p1,l1,nopc,nob/c,246500,3.5,-0.0997,3095.2,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,4200.0,CIB,621,CIB,25-34,not_inst,66.98369565,North,direct,0,45.0,Long-term
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,546500,4.25,-0.154,1895.0,neg_amm,not_int,not_lpsm,688000.0,sb,pr,home,1U,9240.0,CRIF,577,EXP,25-34,not_inst,79.43313953,North,direct,0,37.0,Long-term
cf,Male,nopre,type1,p2,l1,nopc,nob/c,246500,3.25,-0.2684,4333.4,not_neg,not_int,not_lpsm,328000.0,sb,sr,home,1U,6840.0,EXP,665,CIB,35-44,not_inst,75.15243902,North,direct,0,31.0,Long-term
cf,Joint,nopre,type1,p3,l1,nopc,nob/c,316500,4.56,0.2419,4708.38,neg_amm,not_int,not_lpsm,558000.0,sb,pr,home,1U,4140.0,CIB,764,EXP,65-74,to_inst,56.72043011,North,direct,0,37.0,Long-term
cf,Male,nopre,type1,p1,l2,nopc,nob/c,666500,4.5,0.48975,1860.0,neg_amm,not_int,not_lpsm,418000.0,sb,pr,home,1U,12240.0,EQUI,775,EXP,45-54,not_inst,1.5944976076555024,North,direct,1,40.0,Long-term
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,106500,3.99,0.3599,3953.13,not_neg,not_int,lpsm,128000.0,sb,pr,home,1U,1380.0,CRIF,668,CIB,55-64,to_inst,83.203125,south,direct,1,43.0,Medium-term
cf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,86500,3.5,0.9378,3466.91,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,2880.0,CRIF,628,EXP,55-64,to_inst,36.34453782,south,direct,0,12.0,Long-term
cf,Joint,nopre,type2,p1,l1,nopc,b/c,216500,3.99,0.96485,1401.81,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,6060.0,EQUI,585,EXP,25-34,to_inst,0.5179425837320574,North,direct,1,39.0,Long-term
cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,146500,4.125,0.7098,4283.75,not_neg,not_int,not_lpsm,458000.0,sb,ir,home,1U,7860.0,CIB,818,CIB,55-64,to_inst,31.98689956,south,direct,0,30.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,206500,3.99,0.3599,2170.705,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,3540.0,EQUI,620,EXP,65-74,not_inst,0.4940191387559808,North,direct,1,39.0,Long-term
cf,Female,nopre,type1,p4,l1,nopc,nob/c,356500,4.0,-0.2858,823.56,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,3180.0,EXP,547,CIB,35-44,not_inst,61.67820069,North,direct,0,46.0,Long-term
cf,Joint,nopre,type1,p4,l2,nopc,nob/c,206500,4.125,0.966,6054.63,not_neg,not_int,not_lpsm,288000.0,sb,ir,home,1U,14160.0,CIB,771,EXP,35-44,to_inst,71.70138889,south,direct,0,28.0,Short-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,306500,3.625,-0.0316,3005.08,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,9540.0,CRIF,716,EXP,55-64,to_inst,42.10164835,North,direct,0,17.0,Long-term
cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,496500,3.99,0.3599,1860.0,neg_amm,not_int,not_lpsm,418000.0,sb,pr,home,1U,6000.0,EQUI,521,EXP,25-34,not_inst,1.187799043062201,south,direct,1,39.0,Long-term
cf,Female,nopre,type1,p4,l1,nopc,nob/c,376500,3.625,-0.0176,1031.2,not_neg,not_int,not_lpsm,688000.0,sb,pr,home,1U,3900.0,CRIF,798,CIB,35-44,not_inst,54.72383721,North,direct,0,43.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,326500,3.99,0.3599,2170.705,not_neg,not_int,not_lpsm,498000.0,sb,pr,home,1U,8760.0,CIB,572,EXP,55-64,to_inst,65.562249,North,direct,1,60.0,Long-term
ncf,Joint,nopre,type1,p3,l1,nopc,nob/c,206500,4.99,1.1227,6148.44,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,8100.0,EXP,586,EXP,35-44,to_inst,74.28057554,North,direct,0,20.0,Long-term
cf,Male,pre,type1,p1,l1,nopc,nob/c,156500,3.875,0.8412,3484.08,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,2280.0,EXP,527,CIB,45-54,to_inst,93.1547619,North-East,direct,0,43.0,Long-term
cf,Male,nopre,type1,p3,l1,nopc,nob/c,256500,4.125,0.1457,920.77,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,6000.0,CIB,536,CIB,55-64,to_inst,54.80769231,North,direct,0,49.0,Long-term
cf,Male,nopre,type1,p4,l1,nopc,nob/c,156500,4.75,1.0683,3709.38,not_neg,not_int,not_lpsm,178000.0,sb,pr,home,1U,2700.0,CIB,637,CIB,35-44,to_inst,87.92134831,North,direct,0,40.0,Medium-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,436500,3.99,0.3296,1371.44,not_neg,not_int,not_lpsm,548000.0,sb,pr,home,1U,7500.0,CRIF,538,EXP,35-44,not_inst,79.65328467,North,direct,0,35.0,Long-term
cf,Female,nopre,type2,p1,l1,nopc,b/c,246500,3.99,0.96485,1401.81,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,5220.0,EQUI,720,EXP,25-34,to_inst,0.5897129186602871,south,direct,1,39.0,Long-term
cf,Male,nopre,type3,p3,l2,nopc,nob/c,376500,3.625,-0.4699,591.48,not_neg,not_int,not_lpsm,648000.0,sb,pr,home,1U,6240.0,CRIF,755,CIB,45-54,not_inst,58.10185185,North,direct,0,33.0,Long-term
cf,Joint,nopre,type2,p4,l1,nopc,b/c,206500,3.625,0.8143,0.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,6660.0,EXP,693,EXP,35-44,not_inst,94.72477064,North,direct,0,39.0,Long-term
cf,Female,pre,type1,p3,l1,nopc,nob/c,476500,3.99,0.3599,3953.13,not_neg,not_int,not_lpsm,798000.0,sb,pr,home,1U,5520.0,CIB,717,CIB,55-64,to_inst,59.71177945,North,direct,1,60.0,Long-term
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,506500,3.875,0.2372,2407.92,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,9000.0,CIB,880,EXP,25-34,not_inst,83.30592105,south,direct,0,46.0,Long-term
cf,Male,nopre,type3,p3,l1,nopc,nob/c,176500,3.5,-0.1729,3468.75,neg_amm,not_int,not_lpsm,418000.0,sb,pr,home,1U,1680.0,EQUI,802,EXP,65-74,to_inst,0.4222488038277512,North,direct,1,39.0,Long-term
